"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"48","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1154,151034,0.4,1100.5545512
"49","All Fire","10560_16_23",0.0048518,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1017,970,0,4.706246
"50","All Fire","10570_23",0.0071192,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1018,538,0,3.8301296
"51","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1155,89507,0.2,608.9519238
"52","All Fire","10570_29",0.0029494,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1256,8,0,0.0235952
"53","All Fire","10590_24_28",0.0079486,"Southern Rocky Mountain Pinyon-Juniper Woodland",1156,39028,0.1,310.2179608
"54","All Fire","10590_24_28",0.0079486,"Southern Rocky Mountain Pinyon-Juniper Woodland",1122,476,0,3.7835336
"55","All Fire","10590_25",0.017319,"Southern Rocky Mountain Pinyon-Juniper Woodland",1346,85120,0.2,1474.19328
"56","All Fire","10590_27_33",0.0071644,"Southern Rocky Mountain Pinyon-Juniper Woodland",1480,245585,0.7,1759.469174
"57","All Fire","10590_27_33",0.0071644,"Southern Rocky Mountain Pinyon-Juniper Woodland",1406,51,0,0.3653844
"58","All Fire","10610_15_25",0.0810248,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1347,26,0,2.1066448
"59","All Fire","10610_20_29",0.018349,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1257,19389,0.1,355.768761
"60","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1157,4466687,12.4,155868.6162146
"61","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",887,566,0,19.7510228
"62","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1481,828,0,28.8937224
"63","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1019,106906,0.3,10485.2763364
"64","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1123,10,0,0.980794
"65","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",1020,106252,0.3,3266.6539888
"66","All Fire","10620_10_19_21_29_31",0.014686,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1258,6572,0,96.516392
"67","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1021,7651,0,118.5277618
"68","All Fire","10620_22_28",0.0171456,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",888,311,0,5.3322816
"69","All Fire","10620_22_28",0.0171456,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1158,168,0,2.8804608
"70","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1022,874,0,11.132138
"71","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1124,111,0,1.413807
"72","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1159,994,0,12.660578
"73","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1482,26,0,0.331162
"74","All Fire","10660_29",0.0023186,"Inter-Mountain Basins Mat Saltbush Shrubland",1259,2226,0,5.1612036
"75","All Fire","10700_10_19_28",0.0043774,"Rocky Mountain Alpine Dwarf-Shrubland",1160,10286,0,45.0259364
"76","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",890,13,0,0.039533
"77","All Fire","10720_22_29",0.003041,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",1260,5235,0,15.919635
"78","All Fire","10720_28",0.0078584,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",388,70040,0.2,550.402336
"79","All Fire","10750_25",0.002642,"Chihuahuan Mixed Salt Desert Scrub",1349,449,0,1.186258
"80","All Fire","10770_25_26",0.0062666,"Chihuahuan Succulent Desert Scrub",1350,1209,0,7.5763194
"81","All Fire","10780_16_23_24_25",0.013147,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1024,247,0,3.247309
"82","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",1161,817776,2.3,11169.6752736
"83","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",891,7231,0,98.7653366
"84","All Fire","10802_21_22_28",0.010061,"Inter-Mountain Basins Big Sagebrush Shrubland - Wyoming Big Sagebrush",892,163845,0.5,1648.444545
"85","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2712,514,0,3.3935308
"86","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2716,5,0,0.033011
"87","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2713,89339,0.2,754.1819702
"88","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2717,39019,0.1,329.3905942
"89","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2715,1715,0,14.477687
"90","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1162,19067,0.1,30.430932
"91","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1026,1836,0,2.930256
"92","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1128,46,0,0.073416
"93","All Fire","10810_22",0.0022558,"Inter-Mountain Basins Mixed Salt Desert Scrub",893,0,0,0
"94","All Fire","10810_27_33",0.0042778,"Inter-Mountain Basins Mixed Salt Desert Scrub",1408,83,0,0.3550574
"95","All Fire","10810_27_33",0.0042778,"Inter-Mountain Basins Mixed Salt Desert Scrub",2718,8862,0,37.9098636
"96","All Fire","10850_29_30",0.065863,"Northwestern Great Plains Shrubland",1261,7874,0,518.605262
"97","All Fire","10860_13_16_17_18_21_23",0.0458416,"Rocky Mountain Lower Montane-Foothill Shrubland",1028,286716,0.8,13143.5201856
"98","All Fire","10860_27_31_33",0.022085,"Rocky Mountain Lower Montane-Foothill Shrubland",1409,29051,0.1,641.591335
"99","All Fire","10860_27_31_33",0.022085,"Rocky Mountain Lower Montane-Foothill Shrubland",1485,8196,0,181.00866
"100","All Fire","10860_28",0.0186432,"Rocky Mountain Lower Montane-Foothill Shrubland",1163,239078,0.7,4457.1789696
"101","All Fire","10860_29",0.0093834,"Rocky Mountain Lower Montane-Foothill Shrubland",1262,27718,0.1,260.0890812
"102","All Fire","10861_22",0.0110542,"Rocky Mountain Lower Montane-Foothill Shrubland - No True Mountain Mahogany",894,3407,0,37.6616594
"103","All Fire","10862_22",0.0093616,"Rocky Mountain Lower Montane-Foothill Shrubland - True Mountain Mahogany",895,321,0,3.0050736
"104","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",389,2644,0,12.2115784
"105","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",1029,415,0,1.916719
"106","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",1129,1,0,0.0046186
"107","All Fire","10940_27_33",0.0443664,"Western Great Plains Sandhill Steppe",1410,79,0,3.5049456
"108","All Fire","10940_27_33",0.0443664,"Western Great Plains Sandhill Steppe",1486,2757,0,122.3181648
"109","All Fire","11002_25",0.0011862,"Chihuahuan Mixed Desert and Thorn Scrub - Shrubland",1356,1128,0,1.3380336
"110","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",1030,567,0,8.7776136
"111","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",1130,0,0,0
"112","All Fire","11020_28",0.0080698,"Colorado Plateau Pinyon-Juniper Shrubland",1164,459,0,3.7040382
"113","All Fire","11040_13_14_25",0.0129724,"Mogollon Chaparral",1359,7063,0,91.6240612
"114","All Fire","11040_23_24",0.0237914,"Mogollon Chaparral",1032,354,0,8.4221556
"115","All Fire","11040_23_24",0.0237914,"Mogollon Chaparral",1131,0,0,0
"116","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1033,734274,2,19079.375616
"117","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1132,3,0,0.077952
"118","All Fire","11070_25_28",0.026041,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1165,716291,2,18652.933931
"119","All Fire","11070_25_28",0.026041,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1360,64,0,1.666624
"120","All Fire","11070_27_33",0.0205498,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1488,92312,0.3,1896.9931376
"121","All Fire","11070_27_33",0.0205498,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1411,9569,0,196.6410362
"122","All Fire","11080_4_5_13_14_15_24_25",0.0122214,"Sonora-Mojave Semi-Desert Chaparral",1361,4,0,0.0488856
"123","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",1034,179,0,2.7595714
"124","All Fire","11150_21_22",0.0154206,"Inter-Mountain Basins Juniper Savanna",897,1,0,0.0154206
"125","All Fire","11150_28",0.0088816,"Inter-Mountain Basins Juniper Savanna",1166,9208,0,81.7817728
"126","All Fire","11160_15_25",0.0216964,"Madrean Juniper Savanna",1363,8,0,0.1735712
"127","All Fire","11170_13_15_28",0.0922292,"Southern Rocky Mountain Ponderosa Pine Savanna",1167,311615,0.9,28740.002158
"128","All Fire","11170_16_23_24",0.1244826,"Southern Rocky Mountain Ponderosa Pine Savanna",1035,22491,0.1,2799.7381566
"129","All Fire","11170_16_23_24",0.1244826,"Southern Rocky Mountain Ponderosa Pine Savanna",1135,1452,0,180.7487352
"130","All Fire","11170_29",0.068606,"Southern Rocky Mountain Ponderosa Pine Savanna",1264,24427,0.1,1675.838762
"131","All Fire","11170_33",0.0537812,"Southern Rocky Mountain Ponderosa Pine Savanna",1413,695,0,37.377934
"132","All Fire","11171_27",0.0848118,"Southern Rocky Mountain Ponderosa Pine Savanna - South",1490,57,0,4.8342726
"133","All Fire","11172_27",0.0524864,"Southern Rocky Mountain Ponderosa Pine Savanna - North",1491,1587,0,83.2959168
"134","All Fire","11190_24_25",0.0376668,"Southern Rocky Mountain Juniper Woodland and Savanna",1364,94488,0.3,3559.0605984
"135","All Fire","11190_24_25",0.0376668,"Southern Rocky Mountain Juniper Woodland and Savanna",1136,1,0,0.0376668
"136","All Fire","11190_27",0.037143,"Southern Rocky Mountain Juniper Woodland and Savanna",1492,29372,0.1,1090.964196
"137","All Fire","11190_28",0.0374156,"Southern Rocky Mountain Juniper Woodland and Savanna",1168,8815,0,329.818514
"138","All Fire","11210_24",0.1238776,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",1137,6,0,0.7432656
"139","All Fire","11210_25",0.0124522,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",1365,7067,0,87.9996974
"140","All Fire","11210_27",0.0766116,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",1493,0,0,0
"141","All Fire","11220_25",0.0154988,"Chihuahuan Gypsophilous Grassland and Steppe",1366,98,0,1.5188824
"142","All Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",1265,336796,0.9,3658.278152
"143","All Fire","11250_20_29_30_31_33",0.010862,"Inter-Mountain Basins Big Sagebrush Steppe",1407,301,0,3.269462
"144","All Fire","11250_6_12_13_15_16_17_18_23_24_25_28",0.0086132,"Inter-Mountain Basins Big Sagebrush Steppe",390,669,0,5.7622308
"145","All Fire","11250_6_12_13_15_16_17_18_23_24_25_28",0.0086132,"Inter-Mountain Basins Big Sagebrush Steppe",1036,91,0,0.7838012
"146","All Fire","11250_6_12_13_15_16_17_18_23_24_25_28",0.0086132,"Inter-Mountain Basins Big Sagebrush Steppe",1169,10,0,0.086132
"147","All Fire","11260_20_29_33",0.0201238,"Inter-Mountain Basins Montane Sagebrush Steppe",1266,566031,1.6,11390.6946378
"148","All Fire","11260_20_29_33",0.0201238,"Inter-Mountain Basins Montane Sagebrush Steppe",1414,43179,0.1,868.9255602
"149","All Fire","11260_22",0.0115496,"Inter-Mountain Basins Montane Sagebrush Steppe",898,273656,0.8,3160.6173376
"150","All Fire","11260_6_12_17_18_28",0.0199184,"Inter-Mountain Basins Montane Sagebrush Steppe",1170,1428792,4,28459.2505728
"151","All Fire","11261_16_23_24",0.0203804,"Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush",1037,177769,0.5,3623.0033276
"152","All Fire","11262_16_23",0.0046356,"Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush",1038,4006,0,18.5702136
"153","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1367,18178,0.1,171.4985232
"154","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1039,129,0,1.2170376
"155","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1139,99,0,0.9340056
"156","All Fire","11270_22",0.0022132,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",899,240,0,0.531168
"157","All Fire","11270_28",0.0084374,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1171,251428,0.7,2121.3986072
"158","All Fire","11320_33",0.0655498,"Central Mixedgrass Prairie",1415,79,0,5.1784342
"159","All Fire","11330_25",0.0011562,"Chihuahuan Sandy Plains Semi-Desert Grassland",1368,5661,0,6.5452482
"160","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",1172,60009,0.2,2403.0484032
"161","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",1040,3349,0,133.6297886
"162","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",1140,388,0,15.4817432
"163","All Fire","11350_22",0.0401812,"Inter-Mountain Basins Semi-Desert Grassland",900,577,0,23.1845524
